mntiadd,mntiadmin,mntiadminnum,mntidetails,mntihigh,mntilistno,mntiname,mntinfdt,mntisname,mntisummary,mntitop,admin_primary,admin_secondary,height_category,details_length,has_rock,has_water,gradient,암반구간비율,course_distance_km,누적상승고도,peakfit_score,weather_status,tour_demand_score,transport_score
충청북도 청주시 상당구 남성면 인경리,청주시 상당구청,043-201-5114,( - ),543.2,431100101,가래산,20201201, , , ,충청북도,청주시,초급(300~600m),5,False,False,5.411689885916049,4.954913162061985,2.5058576228487923,398.4177864666752,18.8,흐림(보통),67.3,49.4
전라북도 전주시 덕진구 덕진동2가 ,전주시청,063-222-1000,전주의 지세가 북서쪽이 공결하여 바로 그 지점에서 기맥이 누설되고 있다. 그러한 까닭에 서쪽으로 가련산에서 동쪽으로 건지산으로 큰 제방을 쌓아 그 누설을 막고 이름을 붙이기를 덕진이라 하였다.,70.2,451100101,가련산,20201201, , , ,전라북도,전주시,입문(0~300m),107,False,False,24.398197043239886,6.88402396427736,4.9841915624184505,60.100069312654824,21.9,맑음(안전),71.1,62.0
강원특별자치도 인제군 북면 한계리,인제군청,033-461-2122,"가리봉은 설악산국립공원에 속하는 산으로 설악산 귀때기청봉(1,580m)과 대승령을 잇는 설악산 서북 주능선과 마주 보고 있어 독립된 산처럼 보인다. 멀리서 보면 봉우리가 둥글둥글 완만해 보이지만 험준한 바위봉우리들이 많은 산이다.
 산행 들머리는 옥녀탕 앞이나 한계령에서 시작하는데 오르다 보면 산의 남서쪽에 이 산의 명물 팔례 약수가 있다.
 가리봉 주능선은 등산인들의 왕래가 거의 없는 관계로 등산로가 뚜렷하지 않으므로 산행 시 주의해야 하는 곳이다.",1518.5,428100201,가리봉,20201201, , , ,강원특별자치도,인제군,고급(1000m~),258,True,False,21.648852816008436,18.696546772074925,8.638319427902747,1240.2417934421358,50.6,맑음(안전),40.4,77.1
경기도 포천시 이동면 도평리,포천시청,031-538-2114,"백운산과 국망봉 사이에 있는 신로봉에서 서쪽인 이동면 장암리 방면으로 뻗어내린 능선 상에 우뚝 솟은 가리산은 험준한 바위로 이루어진 산이다. 산 아래에서 볼 때 정산 주위는 두 개의 바위봉우리로 되어 있으며, 정상에서 서쪽과 북쪽 지역은 민간인 출입금지구역으로 주의를 요구하는 곳이다. 백운산과 국망봉 사이에 있는 신로봉에서 서쪽인 이동면 장암리 방면으로 뻗어내린 능선 상에 우뚝 솟은 가리산(774.3m)은 험준한 바위로 이루어진 산이다. 산 아래에서 볼 때 정상 주위는 두 개의 바위봉우리로 되어 있으며, 정상에서 서쪽과 북쪽 지역은 민간인 출입 금지구역으로 주의를 요구하는 곳이다. 정상에서의 사방 조망은 경기 제일의 고봉인 화악산, 명지산에 이어 세 번째로 높은 국망봉(1,168m)과 신로봉으로 이어지는 능선이 파노라마를 이룬다. 도평교를 하산 지점으로 잡을 경우 하산길은 지루함을 느낄 만큼 계곡 길의 연속이다. 가리산이란 명칭은 현재 폐광된 산 입구의 가리광산에서 유래됐다는 설이 전해진다. 가리란 바로 비료의 주성분 가운데 하나인 칼륨의 일본식 발음이다.",774.3,416500201,가리산,20201201, , , ,경기도,포천시,중급(600~1000m),546,True,True,9.246782213565524,14.928040664782136,4.762580091430874,689.4710657331295,35.7,맑음(안전),65.4,49.6
강원특별자치도 춘천시 북사면 물로리,춘천시청,033-253-3700,"강원도 춘천시와 홍천군의 경계를 이루는 산으로, 산 정상에 서면 탁 트인 시야와 발아래로 펼쳐진 소양호의 풍경이 등산객들의 발걸음을 멈추게 하는 곳이다. 산자락을 감싸 흐르는 조그마한 폭포의 물소리가 사람들의 마음을 시원하게 해주는 가리산은 우거진 숲과 노송들이 어우러져 비경을 이루고 있다.
 소양호 쪽으로 하산하여 물놀이 선착장에서 유람선을 타고 소양댐 선착장까지 나올 수 있어, 산행도 하고 배를 타는 재미가 있다. 산 이름인 가리는 '단으로 묶은 곡식이나 땔나무 따위를 차곡차곡 쌓아둔 큰 더미'를 뜻하는 순우리말로서, 산봉우리가 노적가리처럼 고깔 모양으로 생긴 데서 유래한다. 태백산맥 중 내지(內地) 산맥의 일부를 이룬다. 제1봉 남쪽에서 홍천강이 발원하여 북한강의 지류인 소양강의 수원(水源)을 이룬다. 능선은 완만한 편이나, 정상 일대는 좁은 협곡을 사이에 둔 3개의 암봉으로 이루어져 있으며 강원 제1의 전망대라고 할 만큼 조망이 뛰어나, 소양호를 비롯하여 북쪽으로 향로봉에서 설악산을 거쳐 오대산으로 힘차게 뻗어 나간 백두대간 등 강원 내륙의 고산준령이 한눈에 보인다. 정상 부근에서는 소양호로 갈 수 있는 가삽고개가 있는데, 그 형태가 계단식 분지형으로 이루어져 있다. 북쪽 산록은 소양호에 미치고 동쪽 산록에 홍천광산이 있다. 산기슭에는 숲이 우거져 있고 갖가지 기암괴석이 즐비하며, 산 정상과 계곡에는 향토 수종인 참나무가 주종을 이루며 자라고 있다. 아래쪽에는 두릅나무·철쭉·싸리나무·산초나무 등 관목류와 약용으로 사용되는 피나물·애기똥풀·양지꽃 등 야생화가 자생하고 있다. 강원도에서 진달래가 가장 많이 피는 산으로도 유명하다.
 1998년 가리산 자연휴양림으로 개장되어 통나무집·야영장·체육시설 등 편의시설이 있다. 휴양림 입구에는 높이 8m의 용소폭포가 있고, 주변에 스키장·온천·수타사·팔봉산 등의 관광지가 있다.",1050.9,421100101,가리산,20201201, , ,"강원도에서 진달래가 가장 많이 피는 산으로 알려져 있고, 참나무 중심의 울창한 산림과 부드러운 산줄기 등 우리나라 산의 전형적인 모습을 갖추고 있으며, 홍천강의 발원지 및 소양강의 수원(水源)을 이루고 있는 점 등을 고려하여 선정
암봉이 솟아있는 정상에서 소양호를 조망할 수 있고, 야생화가 많이 서식하여 자연학습관찰에도 좋은 여건을 갖추고 있음. '98년 강원도에서 자연휴양림으로 지정",강원특별자치도,춘천시,고급(1000m~),925,True,True,8.636499344142013,26.382046353483993,6.360914305431086,744.5463186371245,41.6,맑음(안전),83.1,98.1
강원특별자치도 정선군 정선읍 회동리,정선군청,033-562-3911,"가리왕산은 태백산의 지붕 역할을 하고 있으며 경사도가 완만한 등산로로 유명하다. 산 능선에는 고산식물인 주목, 잣나무, 단풍나무 등 각종 수목이 울창하며 산삼 등 많은 약초가 자라고 있다. 회동리 입구에는 자연휴양림이 조성되어 각종 편의시설이 설치되어 있고 등산로 산행시간은 총 6시간 정도 소요된다. 군립공원으로 지정, 개발계획에 있으며 숙암방면 입구는 약 4km 구간에 철쭉이 밀집 자생하고 있다.",1561.8,427700101,가리왕산,20201201, , ,"가리왕산 8경이 전해질 만큼 경관이 수려하고, 활엽수 극상림이 분포해 있으며, 전국적인 산나물 자생지로 유명. 특히 백두대간의 중심으로 주목군락지가 있어 산림유전자원보호림과 자연휴양림으로 지정되는 등 경관·생태적으로 가치가 큰 점에서 선정동강(東江)에 흘러드는 오대천과 조양강의 발원지이며 석회암 절리동굴인 얼음동굴이 유명. 산의 이름은 그 모습이 큰 가리(벼나 나무를 쌓은 더미)같다고 하여 유래 ",강원특별자치도,정선군,고급(1000m~),224,False,False,8.668090197068675,7.994158789689792,6.496039567328685,1176.1372723268257,42.0,맑음(안전),66.6,94.9
전라북도 부안군 위도면 식도리,부안군청,063-580-4191,( - ),117.4,458000101,가마귀산,20201201, , , ,전라북도,부안군,입문(0~300m),5,False,False,11.084844859190754,6.946964708544268,3.0680481516359346,96.30448508595987,19.0,맑음(안전),83.9,50.0
강원특별자치도 인제군 상남면 상남리,인제군청,033-461-2122,"강원도 홍천군 내천면과 인제군 상남면의 경계에 걸쳐 있는 가마봉은 산을 즐겨 타는 등반객들에게도 잘 알려지지 않아 자연 그대로의 정경을 간직한 산이다.
 산행기점인 김부리는 신라의 마지막 왕인 김부(金傅)에서 유래한 지명인데 세월이 흐르면서 현재 김부(金富)로 변했다고 한다.",1189.6,428100301,가마봉,20201201, , , ,강원특별자치도,인제군,고급(1000m~),156,False,False,15.495128632644757,2.7214513722996267,4.579001254044451,903.277534312035,34.8,맑음(안전),54.0,47.3
전라남도 여수시 소라면 대포리,여수시청,1899-2012,( - ),,461300101,가마봉,20201201, , , ,전라남도,여수시,,5,False,False,13.638900372842315,5.902306668690871,4.3433459543064235,,0.0,맑음(안전),88.8,45.1
충청남도 공주시 반포면 봉곡리,공주시청,1899-0088,"공주시 반포면 상신리는 계룡산 자락이 감싸고 있는 마을로, 뒷산을 ‘솥봉’ 또는 ‘가마봉’이라 부르는데 지명에 얽힌 슬픈 전설이 전해진다. 아주 오랜 옛날 산 아랫마을에 석공 부부와 두 딸이 단란하게 살고 있었다. 어느 날 석공이 독이 있는 음식을 잘못 먹고 급사하게 되자, 그의 아내와 두 딸은 산속에서 나물을 캐고 나무를 해서 먹고 살아야 했다. 그러던 어느 날 석공의 아내가 산나물을 뜯고 있다가 마침 사냥을 나온 인근 고을의 원님과 마주치게 되었다. 원님은 한눈에 이 여인에게 반하여 억지로 끌고 가서 자신의 시중을 들라고 명령하였다. 석공의 아내는 완강하게 거부하였고, 원님은 만약 끝까지 싫다고 한다면 가마솥의 끓는 물에 집어넣어 죽이겠노라고 협박하였다. 그래도 여인이 끝내 싫다 하니 원님은 처음 만났던 그 산속으로 여인을 다시 데리고 가 부하들이 가마솥을 걸게 하고 물을 끓인 후 사공의 아내를 빠뜨려 죽이고 말았다. 그 후 석공의 두 딸이 어머니의 처참한 시신을 발견하고, 통곡하며 복수를 다짐한 끝에 10여 년의 시간이 흐른 후 사냥 나온 원님을 향해 화살을 쏘아 죽였다. 죽은 여인의 혼은 이승을 맴돌며 지금도 비 오는 밤이나 안개가 낀 날에 큰 울음소리를 낸다고 한다. 산 중턱에 솥을 걸었던 자리는 사람 형상의 바위가 생겨나 ‘사람 바위’ 혹은 ‘아내 바위’라 불렀고, 그 산은 솥 봉 또는 가마봉이라 불리게 되었다고 한다.",,441500101,가마봉,20201201, , , ,충청남도,공주시,,698,True,False,10.824582803960839,17.219477938800537,1.7226720225225507,,0.0,맑음(안전),75.3,94.6
충청북도 음성군 원남면 구안리,음성군청,043-871-3114,( - ),485.0,437700101,가막산,20201201, , , ,충청북도,음성군,초급(300~600m),5,False,False,17.237057894447588,0.9158207332663415,1.7056299930765195,349.444048514448,23.9,맑음(안전),52.6,51.6
경상남도 산청군 생초면 노은리 ,산청군청,055-970-6000,( - ),335.8,488600101,가막산,20201201, , , ,경상남도,산청군,초급(300~600m),5,False,False,7.789877213040837,9.173135754622429,8.569424871244074,269.5704658161265,26.1,맑음(안전),54.2,65.0
경상남도 의령군 지정면 득소리,의령군청,055-570-2114,( - ),257.3,487200101,가목산,20201201, , , ,경상남도,의령군,입문(0~300m),5,False,False,10.842892970704362,1.368186309189614,3.8211018847689053,206.29750799071576,20.5,맑음(안전),77.7,66.9
경상북도 칠곡군 가산면 가산리,칠곡군청,054-973-3321,"대구의 명산 팔공산 정상에서 서쪽으로 약 10㎞ 떨어진 가산은 일명 칠봉산이라고도 불리며 칠곡군 내 최고봉으로 가산면 가산리에 있다. 7개의 봉이 7개의 골짜기를 이루어 칠곡(七谷)이라 한 것이 오늘의 칠곡(漆谷)이 되었다. 1640년(인조 18)에 가산성을 쌓고 칠곡도호부의 치소가 약 180년간 산성 내에 있었다. 한국전쟁 때의 격전지로서 선조의 호국 의지가 깃들어 있는 가산산성과 가산바위 등 명소가 많으며 울창한 수림, 계곡의 석간수는 한여름에도 서늘함을 느낄 만큼 시원하여 가족 단위의 등산객이 많이 찾고 있다. 가산바위는 산성 서쪽에 있는 80여 평의 넓은 바위로, 신라 시대의 고승 도선(道詵, 827∼898년)이 산천을 편력하면서 가산바위에 쇠로 만든 소와 말의 형상을 묻어지기를 눌렀다고 전한다. 용의 모습을 닮은 용바위, 신선이 노닐었다는 유선대는 가산 정상에 우뚝 솟아 있다.",901.8,478500101,가산,20201201, , , ,경상북도,칠곡군,중급(600~1000m),445,True,True,12.327236865873834,29.00474707641605,5.903669513029931,697.8634797160748,38.6,맑음(안전),89.8,75.9
전라남도 영암군 군서면 해창리,영암군청,061-470-2114,( - ),104.4,468300101,가삼봉,20201201, , , ,전라남도,영암군,입문(0~300m),5,False,False,14.12139968434072,4.460057729579558,4.0391673755045705,92.55947113045475,21.4,흐림(보통),64.9,44.3
충청북도 음성군 음성읍 용산리,음성군청,043-871-3114,( - ),,437700201,가섭산,20201201, , , ,충청북도,음성군,,5,False,False,20.703519227860273,1.8513292883861965,9.495773583480394,,0.0,맑음(안전),55.5,53.6
충청북도 영동군 매곡면 옥전리,영동군청,043-742-2101,( - ),729.9,437400101,가성산,20201201, , , ,충청북도,영동군,중급(600~1000m),5,False,False,8.993475643167194,5.419009473783581,3.704022450359077,612.7086255711688,28.3,맑음(안전),92.0,95.9
전라남도 나주시 운곡동 ,나주시청,061-339-8114,가야산은 나주시 가야동 영산강 변에 피라미드 형상으로 아름답게 솟은 산이다. 나지막한 산세지만 발아래 바로 영산강을 끼고 있어 나주평야 전체를 바라볼 수 있다. 특히 북쪽 기슭에 위태롭게 매달려 있는 앙암은 강과 함께 어우러져 뛰어난 경관을 자랑한다.,190.5,461700101,가야산,20201201, , , ,전라남도,나주시,입문(0~300m),140,False,False,15.284688768272233,8.729458358764083,5.152082908280948,160.5658448215034,23.9,맑음(안전),80.2,94.5
경상북도 성주군 수륜면 백운리,성주군청,054-933-0021,"가야산은 경남 합천군 가야면과 거창군 가북면, 경북 성주군 가천면 수륜면을 한몸에 품고 있다. 우리나라 12대 명산 중의 하나로 산세가 천하에서 으뜸이고, 지덕은 해동에서 제일이라 하여, 대한 8경에 속하는 명산이다. 가야산 지역이 옛날 가야국이 있었던 곳이고 이 산이 가야국에서 가장 높고 훌륭한 산이었기 때문에 자연스럽게 가야의 산이라 불렀다고 한다. 가야산은 소머리 같다 해서 우두산(산 머리의 큰 바위 아래에 소의 코라는 뜻의 우비정이란 샘도 있다) 이라는 이름 외에 상왕산, 설산, 중향산 등으로도 불리워졌다. '택리지'에 기암괴봉을 불꽃에 비유하여 석화성(石火星)이라고 하였는데, 가야산은 보는 방향에 따라서 한 송이 연꽃으로도 보였다가 서쪽으로 겹겹이 솟은 산봉우리 사이사이 또는 골짜기에 하얀 구름이 잠기면 많은 섬이 떠 있는 바다가 된다. 해발 1천m가 넘는 고봉들이 불꽃처럼 솟아 있는 자태하며, 북에서 남으로 이르는 장쾌한 대덕유의 줄기와 아스라히 떠오른 구름 위로 지리산을 볼 수 있는 조망, 홍류동천의 아름다운 계곡 등 장중하고 덕성스러운 모습을 곳곳에서 볼 수 있다. 가야산 고스락에 서면 금오산, 팔공산, 비슬산이 보이고 화왕산, 자굴산이 보이는가 하면 가까이에 두무산, 오도산, 비계산, 조금 멀리에 백운산, 수도산, 대덕산 등이 보인다. 여기에 우리나라 3보 사찰 중 하나인 해인사가 들어서고, 조선 시대 때 강화도에서 팔만대장경을 옮겨온 이후 불교의 성지로 자리매김하였다. 근래에는 백련암에서 수도했던 성철 스님으로 인하여 더욱 유명해졌다.",1432.6,478400101,가야산,20201201, , ,"예로부터 우리나라의 12대 명산 또는 8경에 속하는 산으로서 '72년 국립공원으로 지정되었으며, 특히 '95년 세계문화유산으로 지정된 국보 팔만대장경과 해인사가 있는 등 역사·문화적 가치가 높은 점을 고려하여 선정,
`가야국'이 있었던 곳으로 전해지며, `택리지'에서는 가야산의 기암괴봉을 불꽃에 비유하여 석화성(石火星)이라 하였음. 산위에서의 조망이 좋고, 특히 용문폭포와 홍류동 계곡 등이 유명 ",경상북도,성주군,고급(1000m~),768,True,True,16.848291377240848,24.644497728191226,8.918207129119116,1135.1109095253348,52.5,맑음(안전),66.9,86.9
전라남도 광양시 성황동 ,광양시청,061-797-2114,"가야산은 진안 장안산에서 시작해 광양 백운산에서 끝을 맺는 듯하던 호남정맥이 남으로 국사봉과 봉화산으로 뻗어 내리다가 동쪽으로 다시 한 번 여세를 몰아 일으킨 산이다. 정상에 오르면 광양 백운산과 백두대간에서 시작하는 지리산 천왕봉은 물론 주릉의 모습까지 한눈에 조망되는 작지만 알찬 산이다. 광양만을 바라보며 우뚝 솟아있어 시내 어디에서나 보이며 또 쉽게 오를 수 있어 광양시민들에게 사랑받는 산이다. 산에서 내려다보이는 광양만은 예부터 전남과 경남을 잇는 해상교역의 요충지이자 수산물의 보고이기도 하다. 불과 500ｍ에 가까운 낮은 산이지만 이곳에는 암장이 있다. 병풍암, 동굴 바위, 전망대 바위, 처마바위, 적벽 등은 1989년 강신복, 김병석 씨가 처음 개척한 이래 현재 70여 개 루트가 열려 있고, 도로에서 암장까지는 약 30분이면 갈 수 있어 이곳 바위 꾼들의 암벽 훈련 장소로 제격이다. 산행 시간은 어느 코스를 잡아 올라서든 4시간이면 충분하다.",496.9,462300101,가야산,20201201, , , ,전라남도,광양시,초급(300~600m),483,True,False,5.929008254399955,26.131222957228996,8.656435317730374,439.35843550657773,32.7,흐림(보통),69.3,41.2
충청북도 제천시 수산면 성리,제천시청,043-641-5114,"가은산은 청풍호반을 사이에 두고 청풍호의 최고 경승지 옥순,구담봉과 마주 서있다. 그래서  제천 지역의 어느 산에서보다 청풍호반의 아름다운 풍광을 만끽할 수 있다. 또한, 등산로 곳곳에  기암괴석과 그 사이에서 자라는 노송들이 한데 어울려 한 폭의 동양화를 그려낸다. 뿐만 아니라  남쪽에는 월악산 영봉과 만수봉으로 이어지는 들쭉날쭉한 능선이 막힘없이 펼쳐진다. 진초록빛  호수 위로 하얀 물보라를 일으키며 지나가는 유람선의 모습은 가은산을 오르는 도중에만 볼 수 있는  아름다운 장면이다. 등산로 곳곳에 물개바위, 기와집바위, 손바닥바위, 시계바위, 곰바위 등  독특한 이름을 갖고 있는 기암들이 있어 산행의 즐거움을 더한다.",,431504101,가은산,20201201, , , ,충청북도,제천시,,351,True,False,17.150897038028766,23.175667334214346,3.0818620516933573,,0.0,맑음(안전),52.3,59.6
전라남도 영광군 염산면 야월리,영광군청,061-350-5114,"가음산은 염산면 야월리에 있으며, 옛날의 통신기관이었던 봉화대가 있었던 높은 산이다. 서쪽 49리에 있는데 남쪽으로 함평현의 해제봉수에 응하고, 북쪽으로 고도도 봉수에 전한다고 기록이 되어있다고 한다.",206.2,468701901,가음산,20201201, , , ,전라남도,영광군,입문(0~300m),112,False,False,8.41048247374583,6.922765645178525,8.322468133263538,174.40317898268586,22.3,흐림(보통),77.6,77.7
충청북도 옥천군 안내면 서대리,옥천군청,043-730-3114,( - ),488.0,437300101,가재봉,20201201, , , ,충청북도,옥천군,초급(300~600m),5,False,False,6.30103185970559,8.491956515653193,5.394588537272087,425.7010322096449,26.5,맑음(안전),61.5,56.5
경상북도 예천군 효자면 도촌리,예천군청,054-654-3801,( - ),851.0,479000101,가재봉,20201201, , , ,경상북도,예천군,중급(600~1000m),5,False,False,23.977710745066666,2.4966800885918596,5.605235412725519,642.3469845060409,32.5,비/눈(위험),99.7,94.6
충청남도 아산시 음봉면 쌍룡리,아산시청,1577-6611,( - ),185.2,442000101,가재산,20201201, , , ,충청남도,아산시,입문(0~300m),5,False,False,24.312640661491187,4.894249636431405,2.634579765535522,159.5339062792227,21.1,맑음(안전),68.8,78.0
경상북도 김천시 조마면 강곡리,김천시청,054-420-6114,( - ),682.7,471500101,가제산,20201201, , , ,경상북도,김천시,중급(600~1000m),5,False,False,21.16794696232922,2.2120944181960223,2.1851128669355595,504.5481519276795,27.0,흐림(보통),69.2,44.3
경상남도 진주시 가좌동 ,진주시청,055-749-2114,( - ),,481703201,가좌산,20201201, , , ,경상남도,진주시,,5,False,False,11.092275383467413,9.87668007996647,7.687484109277004,,0.0,맑음(안전),74.0,94.5
전라남도 장흥군 유치면 봉덕리,장흥군청,061-863-7071,"신라말 원표대사(元表大師)가 인도에 계실 때 신비한 기운이 삼한의 밖 아득히 먼 곳으로부터 비쳐와 그 기운만을 바라보고 산을 넘고 바다를 건너 오묘한 곳을 찾아내 자리를 잡으니 산세가 인도의 가지산, 중국의 가지산과 같아서 가지산이라 명하고 지어진 절이 보림사로 창건에 얽힌 이야기가 전해져 오듯 국보와 보물이 많이 있으며 가지산은 규모는 작지만, 산세가 좋아 정상에서 둘러보면 금방 명산이라는 것을 느낄 수 있다. 특히 가을철에는 산 전체가 단풍으로 붉게 물들어 그 아름다움은 극치에 달하고 정상부의 바위들은 돌을 깎아 세운 듯하다. 한편 보림사 봉덕 계곡은 사시사철 깨끗한 물이 흐르고 있어 많은 탐방객이 찾고 있으며 여름철에는 최고의 가족 휴양지로 꼽힌다.",509.9,468000101,가지산,20201201, , , ,전라남도,장흥군,초급(300~600m),370,True,True,6.953442280127677,28.881186793732265,5.719919795020048,391.1555541264385,30.1,맑음(안전),95.0,97.5
