mntiadd,mntiadmin,mntiadminnum,mntidetails,mntihigh,mntilistno,mntiname,mntinfdt,mntisname,mntisummary,mntitop,region
강원특별자치도 춘천시 북사면 물로리,춘천시청,033-253-3700,"강원도 춘천시와 홍천군의 경계를 이루는 산으로, 산 정상에 서면 탁 트인 시야와 발아래로 펼쳐진 소양호의 풍경이 등산객들의 발걸음을 멈추게 하는 곳이다. 산자락을 감싸 흐르는 조그마한 폭포의 물소리가 사람들의 마음을 시원하게 해주는 가리산은 우거진 숲과 노송들이 어우러져 비경을 이루고 있다.
 소양호 쪽으로 하산하여 물놀이 선착장에서 유람선을 타고 소양댐 선착장까지 나올 수 있어, 산행도 하고 배를 타는 재미가 있다. 산 이름인 가리는 '단으로 묶은 곡식이나 땔나무 따위를 차곡차곡 쌓아둔 큰 더미'를 뜻하는 순우리말로서, 산봉우리가 노적가리처럼 고깔 모양으로 생긴 데서 유래한다. 태백산맥 중 내지(內地) 산맥의 일부를 이룬다. 제1봉 남쪽에서 홍천강이 발원하여 북한강의 지류인 소양강의 수원(水源)을 이룬다. 능선은 완만한 편이나, 정상 일대는 좁은 협곡을 사이에 둔 3개의 암봉으로 이루어져 있으며 강원 제1의 전망대라고 할 만큼 조망이 뛰어나, 소양호를 비롯하여 북쪽으로 향로봉에서 설악산을 거쳐 오대산으로 힘차게 뻗어 나간 백두대간 등 강원 내륙의 고산준령이 한눈에 보인다. 정상 부근에서는 소양호로 갈 수 있는 가삽고개가 있는데, 그 형태가 계단식 분지형으로 이루어져 있다. 북쪽 산록은 소양호에 미치고 동쪽 산록에 홍천광산이 있다. 산기슭에는 숲이 우거져 있고 갖가지 기암괴석이 즐비하며, 산 정상과 계곡에는 향토 수종인 참나무가 주종을 이루며 자라고 있다. 아래쪽에는 두릅나무·철쭉·싸리나무·산초나무 등 관목류와 약용으로 사용되는 피나물·애기똥풀·양지꽃 등 야생화가 자생하고 있다. 강원도에서 진달래가 가장 많이 피는 산으로도 유명하다.
 1998년 가리산 자연휴양림으로 개장되어 통나무집·야영장·체육시설 등 편의시설이 있다. 휴양림 입구에는 높이 8m의 용소폭포가 있고, 주변에 스키장·온천·수타사·팔봉산 등의 관광지가 있다.",1050.9,421100101,가리산,20201201, , ,"강원도에서 진달래가 가장 많이 피는 산으로 알려져 있고, 참나무 중심의 울창한 산림과 부드러운 산줄기 등 우리나라 산의 전형적인 모습을 갖추고 있으며, 홍천강의 발원지 및 소양강의 수원(水源)을 이루고 있는 점 등을 고려하여 선정
암봉이 솟아있는 정상에서 소양호를 조망할 수 있고, 야생화가 많이 서식하여 자연학습관찰에도 좋은 여건을 갖추고 있음. '98년 강원도에서 자연휴양림으로 지정",강원특별자치도
강원특별자치도 정선군 정선읍 회동리,정선군청,033-562-3911,"가리왕산은 태백산의 지붕 역할을 하고 있으며 경사도가 완만한 등산로로 유명하다. 산 능선에는 고산식물인 주목, 잣나무, 단풍나무 등 각종 수목이 울창하며 산삼 등 많은 약초가 자라고 있다. 회동리 입구에는 자연휴양림이 조성되어 각종 편의시설이 설치되어 있고 등산로 산행시간은 총 6시간 정도 소요된다. 군립공원으로 지정, 개발계획에 있으며 숙암방면 입구는 약 4km 구간에 철쭉이 밀집 자생하고 있다.",1561.8,427700101,가리왕산,20201201, , ,"가리왕산 8경이 전해질 만큼 경관이 수려하고, 활엽수 극상림이 분포해 있으며, 전국적인 산나물 자생지로 유명. 특히 백두대간의 중심으로 주목군락지가 있어 산림유전자원보호림과 자연휴양림으로 지정되는 등 경관·생태적으로 가치가 큰 점에서 선정동강(東江)에 흘러드는 오대천과 조양강의 발원지이며 석회암 절리동굴인 얼음동굴이 유명. 산의 이름은 그 모습이 큰 가리(벼나 나무를 쌓은 더미)같다고 하여 유래 ",강원특별자치도
전라북도 부안군 위도면 식도리,부안군청,063-580-4191,( - ),117.4,458000101,가마귀산,20201201, , , ,전라북도
강원특별자치도 인제군 상남면 상남리,인제군청,033-461-2122,"강원도 홍천군 내천면과 인제군 상남면의 경계에 걸쳐 있는 가마봉은 산을 즐겨 타는 등반객들에게도 잘 알려지지 않아 자연 그대로의 정경을 간직한 산이다.
 산행기점인 김부리는 신라의 마지막 왕인 김부(金傅)에서 유래한 지명인데 세월이 흐르면서 현재 김부(金富)로 변했다고 한다.",1189.6,428100301,가마봉,20201201, , , ,강원특별자치도
전라남도 여수시 소라면 대포리,여수시청,1899-2012,( - ),0.0,461300101,가마봉,20201201, , , ,전라남도
충청남도 공주시 반포면 봉곡리,공주시청,1899-0088,"공주시 반포면 상신리는 계룡산 자락이 감싸고 있는 마을로, 뒷산을 ‘솥봉’ 또는 ‘가마봉’이라 부르는데 지명에 얽힌 슬픈 전설이 전해진다. 아주 오랜 옛날 산 아랫마을에 석공 부부와 두 딸이 단란하게 살고 있었다. 어느 날 석공이 독이 있는 음식을 잘못 먹고 급사하게 되자, 그의 아내와 두 딸은 산속에서 나물을 캐고 나무를 해서 먹고 살아야 했다. 그러던 어느 날 석공의 아내가 산나물을 뜯고 있다가 마침 사냥을 나온 인근 고을의 원님과 마주치게 되었다. 원님은 한눈에 이 여인에게 반하여 억지로 끌고 가서 자신의 시중을 들라고 명령하였다. 석공의 아내는 완강하게 거부하였고, 원님은 만약 끝까지 싫다고 한다면 가마솥의 끓는 물에 집어넣어 죽이겠노라고 협박하였다. 그래도 여인이 끝내 싫다 하니 원님은 처음 만났던 그 산속으로 여인을 다시 데리고 가 부하들이 가마솥을 걸게 하고 물을 끓인 후 사공의 아내를 빠뜨려 죽이고 말았다. 그 후 석공의 두 딸이 어머니의 처참한 시신을 발견하고, 통곡하며 복수를 다짐한 끝에 10여 년의 시간이 흐른 후 사냥 나온 원님을 향해 화살을 쏘아 죽였다. 죽은 여인의 혼은 이승을 맴돌며 지금도 비 오는 밤이나 안개가 낀 날에 큰 울음소리를 낸다고 한다. 산 중턱에 솥을 걸었던 자리는 사람 형상의 바위가 생겨나 ‘사람 바위’ 혹은 ‘아내 바위’라 불렀고, 그 산은 솥 봉 또는 가마봉이라 불리게 되었다고 한다.",0.0,441500101,가마봉,20201201, , , ,충청남도
충청북도 음성군 원남면 구안리,음성군청,043-871-3114,( - ),485.0,437700101,가막산,20201201, , , ,충청북도
경상남도 산청군 생초면 노은리 ,산청군청,055-970-6000,( - ),335.8,488600101,가막산,20201201, , , ,경상남도
경상남도 의령군 지정면 득소리,의령군청,055-570-2114,( - ),257.3,487200101,가목산,20201201, , , ,경상남도
경상북도 칠곡군 가산면 가산리,칠곡군청,054-973-3321,"대구의 명산 팔공산 정상에서 서쪽으로 약 10㎞ 떨어진 가산은 일명 칠봉산이라고도 불리며 칠곡군 내 최고봉으로 가산면 가산리에 있다. 7개의 봉이 7개의 골짜기를 이루어 칠곡(七谷)이라 한 것이 오늘의 칠곡(漆谷)이 되었다. 1640년(인조 18)에 가산성을 쌓고 칠곡도호부의 치소가 약 180년간 산성 내에 있었다. 한국전쟁 때의 격전지로서 선조의 호국 의지가 깃들어 있는 가산산성과 가산바위 등 명소가 많으며 울창한 수림, 계곡의 석간수는 한여름에도 서늘함을 느낄 만큼 시원하여 가족 단위의 등산객이 많이 찾고 있다. 가산바위는 산성 서쪽에 있는 80여 평의 넓은 바위로, 신라 시대의 고승 도선(道詵, 827∼898년)이 산천을 편력하면서 가산바위에 쇠로 만든 소와 말의 형상을 묻어지기를 눌렀다고 전한다. 용의 모습을 닮은 용바위, 신선이 노닐었다는 유선대는 가산 정상에 우뚝 솟아 있다.",901.8,478500101,가산,20201201, , , ,경상북도
전라남도 영암군 군서면 해창리,영암군청,061-470-2114,( - ),104.4,468300101,가삼봉,20201201, , , ,전라남도
충청북도 음성군 음성읍 용산리,음성군청,043-871-3114,( - ),0.0,437700201,가섭산,20201201, , , ,충청북도
충청북도 영동군 매곡면 옥전리,영동군청,043-742-2101,( - ),729.9,437400101,가성산,20201201, , , ,충청북도
전라남도 나주시 운곡동 ,나주시청,061-339-8114,가야산은 나주시 가야동 영산강 변에 피라미드 형상으로 아름답게 솟은 산이다. 나지막한 산세지만 발아래 바로 영산강을 끼고 있어 나주평야 전체를 바라볼 수 있다. 특히 북쪽 기슭에 위태롭게 매달려 있는 앙암은 강과 함께 어우러져 뛰어난 경관을 자랑한다.,190.5,461700101,가야산,20201201, , , ,전라남도
경상북도 성주군 수륜면 백운리,성주군청,054-933-0021,"가야산은 경남 합천군 가야면과 거창군 가북면, 경북 성주군 가천면 수륜면을 한몸에 품고 있다. 우리나라 12대 명산 중의 하나로 산세가 천하에서 으뜸이고, 지덕은 해동에서 제일이라 하여, 대한 8경에 속하는 명산이다. 가야산 지역이 옛날 가야국이 있었던 곳이고 이 산이 가야국에서 가장 높고 훌륭한 산이었기 때문에 자연스럽게 가야의 산이라 불렀다고 한다. 가야산은 소머리 같다 해서 우두산(산 머리의 큰 바위 아래에 소의 코라는 뜻의 우비정이란 샘도 있다) 이라는 이름 외에 상왕산, 설산, 중향산 등으로도 불리워졌다. '택리지'에 기암괴봉을 불꽃에 비유하여 석화성(石火星)이라고 하였는데, 가야산은 보는 방향에 따라서 한 송이 연꽃으로도 보였다가 서쪽으로 겹겹이 솟은 산봉우리 사이사이 또는 골짜기에 하얀 구름이 잠기면 많은 섬이 떠 있는 바다가 된다. 해발 1천m가 넘는 고봉들이 불꽃처럼 솟아 있는 자태하며, 북에서 남으로 이르는 장쾌한 대덕유의 줄기와 아스라히 떠오른 구름 위로 지리산을 볼 수 있는 조망, 홍류동천의 아름다운 계곡 등 장중하고 덕성스러운 모습을 곳곳에서 볼 수 있다. 가야산 고스락에 서면 금오산, 팔공산, 비슬산이 보이고 화왕산, 자굴산이 보이는가 하면 가까이에 두무산, 오도산, 비계산, 조금 멀리에 백운산, 수도산, 대덕산 등이 보인다. 여기에 우리나라 3보 사찰 중 하나인 해인사가 들어서고, 조선 시대 때 강화도에서 팔만대장경을 옮겨온 이후 불교의 성지로 자리매김하였다. 근래에는 백련암에서 수도했던 성철 스님으로 인하여 더욱 유명해졌다.",1432.6,478400101,가야산,20201201, , ,"예로부터 우리나라의 12대 명산 또는 8경에 속하는 산으로서 '72년 국립공원으로 지정되었으며, 특히 '95년 세계문화유산으로 지정된 국보 팔만대장경과 해인사가 있는 등 역사·문화적 가치가 높은 점을 고려하여 선정,
`가야국'이 있었던 곳으로 전해지며, `택리지'에서는 가야산의 기암괴봉을 불꽃에 비유하여 석화성(石火星)이라 하였음. 산위에서의 조망이 좋고, 특히 용문폭포와 홍류동 계곡 등이 유명 ",경상북도
전라남도 광양시 성황동 ,광양시청,061-797-2114,"가야산은 진안 장안산에서 시작해 광양 백운산에서 끝을 맺는 듯하던 호남정맥이 남으로 국사봉과 봉화산으로 뻗어 내리다가 동쪽으로 다시 한 번 여세를 몰아 일으킨 산이다. 정상에 오르면 광양 백운산과 백두대간에서 시작하는 지리산 천왕봉은 물론 주릉의 모습까지 한눈에 조망되는 작지만 알찬 산이다. 광양만을 바라보며 우뚝 솟아있어 시내 어디에서나 보이며 또 쉽게 오를 수 있어 광양시민들에게 사랑받는 산이다. 산에서 내려다보이는 광양만은 예부터 전남과 경남을 잇는 해상교역의 요충지이자 수산물의 보고이기도 하다. 불과 500ｍ에 가까운 낮은 산이지만 이곳에는 암장이 있다. 병풍암, 동굴 바위, 전망대 바위, 처마바위, 적벽 등은 1989년 강신복, 김병석 씨가 처음 개척한 이래 현재 70여 개 루트가 열려 있고, 도로에서 암장까지는 약 30분이면 갈 수 있어 이곳 바위 꾼들의 암벽 훈련 장소로 제격이다. 산행 시간은 어느 코스를 잡아 올라서든 4시간이면 충분하다.",496.9,462300101,가야산,20201201, , , ,전라남도
충청북도 제천시 수산면 성리,제천시청,043-641-5114,"가은산은 청풍호반을 사이에 두고 청풍호의 최고 경승지 옥순,구담봉과 마주 서있다. 그래서  제천 지역의 어느 산에서보다 청풍호반의 아름다운 풍광을 만끽할 수 있다. 또한, 등산로 곳곳에  기암괴석과 그 사이에서 자라는 노송들이 한데 어울려 한 폭의 동양화를 그려낸다. 뿐만 아니라  남쪽에는 월악산 영봉과 만수봉으로 이어지는 들쭉날쭉한 능선이 막힘없이 펼쳐진다. 진초록빛  호수 위로 하얀 물보라를 일으키며 지나가는 유람선의 모습은 가은산을 오르는 도중에만 볼 수 있는  아름다운 장면이다. 등산로 곳곳에 물개바위, 기와집바위, 손바닥바위, 시계바위, 곰바위 등  독특한 이름을 갖고 있는 기암들이 있어 산행의 즐거움을 더한다.",0.0,431504101,가은산,20201201, , , ,충청북도
전라남도 영광군 염산면 야월리,영광군청,061-350-5114,"가음산은 염산면 야월리에 있으며, 옛날의 통신기관이었던 봉화대가 있었던 높은 산이다. 서쪽 49리에 있는데 남쪽으로 함평현의 해제봉수에 응하고, 북쪽으로 고도도 봉수에 전한다고 기록이 되어있다고 한다.",206.2,468701901,가음산,20201201, , , ,전라남도
충청북도 옥천군 안내면 서대리,옥천군청,043-730-3114,( - ),488.0,437300101,가재봉,20201201, , , ,충청북도
경상북도 예천군 효자면 도촌리,예천군청,054-654-3801,( - ),851.0,479000101,가재봉,20201201, , , ,경상북도
충청남도 아산시 음봉면 쌍룡리,아산시청,1577-6611,( - ),185.2,442000101,가재산,20201201, , , ,충청남도
경상북도 김천시 조마면 강곡리,김천시청,054-420-6114,( - ),682.7,471500101,가제산,20201201, , , ,경상북도
경상남도 진주시 가좌동 ,진주시청,055-749-2114,( - ),0.0,481703201,가좌산,20201201, , , ,경상남도
전라남도 장흥군 유치면 봉덕리,장흥군청,061-863-7071,"신라말 원표대사(元表大師)가 인도에 계실 때 신비한 기운이 삼한의 밖 아득히 먼 곳으로부터 비쳐와 그 기운만을 바라보고 산을 넘고 바다를 건너 오묘한 곳을 찾아내 자리를 잡으니 산세가 인도의 가지산, 중국의 가지산과 같아서 가지산이라 명하고 지어진 절이 보림사로 창건에 얽힌 이야기가 전해져 오듯 국보와 보물이 많이 있으며 가지산은 규모는 작지만, 산세가 좋아 정상에서 둘러보면 금방 명산이라는 것을 느낄 수 있다. 특히 가을철에는 산 전체가 단풍으로 붉게 물들어 그 아름다움은 극치에 달하고 정상부의 바위들은 돌을 깎아 세운 듯하다. 한편 보림사 봉덕 계곡은 사시사철 깨끗한 물이 흐르고 있어 많은 탐방객이 찾고 있으며 여름철에는 최고의 가족 휴양지로 꼽힌다.",509.9,468000101,가지산,20201201, , , ,전라남도
울산광역시 울주군 상북면 덕현리,울주군청,052-229-7000,"높이는 1,241m이다. 태백산맥의 끝자락에 딸린 산이다. 주위의 운문산(1,188m)·천황산(1,189m)·고헌산(1,034m) 등과 더불어 태백산맥의 남쪽 끝 산악지대를 형성한다. 밀양강의 지류인 산내천(山內川)·무적천의 발원지이며, 남쪽의 천황산 사이 산내천 하곡부(河谷部)의 산내면 시례에는 한 한여름에도 얼음이 어는 얼음골이 있다. 정상 부근에는 바위 능선이 많고 나무가 거의 없는 대신 사방이 탁 트여 가을이면 곳곳이 억새밭으로 장관을 이룬다. 높이 약 40m의 쌀바위도 유명하다.

.",1240.9,317100101,가지산,20201201, , ,"백두대간 남단의 중심으로 ""영남알프스""에서 가장 높은 산으로 '79년 도립공원으로 지정되었음. 수량이 풍부한 폭포와 아름다운 소(沼)가 많고, 천연기념물 224호인 얼음골과 도의국사 사리탑인 ""8각운당형부도(보물 제369호)""가 보존되어 있는 석남사(石南寺)가 소재하는 점 등을 고려하여 선정능선 곳곳에 바위봉과 억새밭이 어우러져 있고 전망이 좋으며 자연휴양림이 있음. 밀양강의 지류인 산내천과 무적천의 발원지이다.",울산광역시
강원특별자치도 영월군 남면 토교리,영월군청,1577-0545,( - ),818.6,427500101,가창산,20201201, , , ,강원특별자치도
충청북도 제천시 두학동 ,제천시청,043-641-5114,( - ),0.0,431500101,가창산,20201201, , , ,충청북도
강원특별자치도 인제군 인제읍 귀둔리,인제군청,033-461-2122,( - ),1165.0,428105201,가칠봉,20201201, , , ,강원특별자치도
경기도 광명시 가학동 ,광명시청,1688-3399,( - ),220.0,412100501,가학산,20201201, , , ,경기도
전라남도 완도군 소안면 미라리,완도군청,061-550-5114,"완도군 소안면은 소안항일운동의 본거지로서 면적 28.7km(군의 7.4%)로서 10개의 도서 중 유인도4 무인도6으로서 해안선의 길이는 64.43km에 달한다. 주민 대다수가 어업에 종사하며 주로 김, 어류, 전복 양식이 주요 특산품이다.",0.0,468900101,가학산,20201201, , , ,전라남도
전라남도 영암군 학산면 학계리,영암군청,061-470-2114,"전라남도 영암군 학산면 학계리와 해남군 계곡면 당산리의 경계에 있는 산. 가학산(加鶴山)[575m]은 월출산 국립 공원에 속한 주지봉에서 남동쪽으로 돌아 월각산[460m], 밤재[栗峙], 벌매산[465m]에서 흑석산으로 이어지는 능선에 우뚝 솟아오른 산이다. 정상은 거대한 돔(dome) 형의 바위 봉이 평평하고 넓은 공터를 이루나, 양쪽이 벼랑이다. 가학산 정상에서는 북동쪽으로 월출산, 남쪽으로 두륜산이 보인다.가학산의 주 능선은 온통 바위로 되어 있어 등산로 이외의 탈출로가 많지 않다. 험한 바위산의 위용과 더불어 능선에는 철쭉 밭이 있고, 소사나무 군락은 우리나라 최고라고 일컬어지기도 한다. 또한 단단한 화강암 덩어리가 줄지어 얹힌 가학산 능선에는 소나무가 뿌리박고 있으며, 난(蘭) 자생지로도 유명하다.가학산의 남쪽인 해남군 계곡면 방춘동은 양지바른 터이고, 북쪽인 영암 골짜기는 습기가 마르지 않아 수세가 좋다. 또한 가학산의 북쪽에는 영암군 학산면의 학산천 계곡이 있고, 남쪽에는 해남군 계곡면 당산리의 계곡천이 있다.",0.0,468302001,가학산,20201201, , , ,전라남도
전라남도 해남군 계곡면 가학리,해남군청,061-530-5114,"월출산에서 남으로 뻗은 능선이 강진군 성전면과 영암군 학산면을 잇는 회랑에서 2번 국도에 길을 내주는 등 잠시 바닥에 깔렸다가 고도를 높여 별매산을 만들고 서쪽으로 진행하며 영암군과 해남군 사이의 장벽을 이룬다. 이 산줄기는 동으로부터 별매산, 가학산, 흑석산, 두억봉, 418봉 등으로 이어지며 계속 서진한 뒤 영암호에 이른다. 봄철 철쭉 철이면 철쭉군락지가 산재한 이 산줄기의 곳곳이 붉게 물들어 장관을 연출한다. 높지 않으면서도 수려한 봉우리들이 중첩되고 조망도 시원한 산들이 가학산, 흑석산이다. 별매산(465m)에서 흑석산(黑石山, 650m)으로 이어지는 능선에 우뚝 솟아 있는 가학산의 정상부는 거대한 돔형의 바위 봉으로 되어 있어 해발과 비교하면 웅장함을 자랑하고 있다. 가학산 정상은 평평하고 넓은 공터를 이루고 있으나 양쪽이 절벽으로 이루어져 있어 주의해야 하는 곳이다. 정상에서 북동쪽으로 월출산이 손에 잡힐 듯 가까이 보이고, 남쪽으로는 두륜산이 아스라히 보인다. 가학산 주능선은 온통 바위 능선으로 되어 있어 등산로 이외 탈출로가 많지 않은 산이다.",574.7,468200201,가학산,20201201, , , ,전라남도
인천광역시 서구 금곡동 ,서구청,032-562-5301,"가현산은 수원 광교산의 일맥이 광주 오봉산을 거쳐 부평 계양산에 이르고 계양산에서 서쪽으로 뻗은 맥이 이곳에 이르게 되고 이어서 대곶면 약산과 수안산을 거쳐 몇 개의 섬을 남기고 강화도의 원맥이 되었으며, 일맥은 문수산을 형성하였는데 이 산에서는 서해뿐만 아니라 김포평야를 흐르는 한강과 동북쪽으로 임진강 하류와 그 너머 북한지역 산들을 조망할 수 있는 명산이다. 또한, 인천 서구와 경기도 김포시 양촌읍 경계에 있는 해발 215.3m의 산으로 비록 높지 않은 작은 산이지만 정상에 서면 동으로는 서울 남산, 서쪽은 서해와 강화섬, 북으로는 한강과 김포평야가 한눈에 내려다보이는 전망 좋은 산이다.",214.7,282600101,가현산,20201201, , , ,인천광역시
경기도 오산시 청학동 ,오산시청,031-8036-8036,( - ),0.0,413700901,각골산,20201201, , , ,경기도
경기도 용인시 처인구 남사면 전궁리,용인시청,1577-1122,( - ),0.0,414600101,각골산,20201201, , , ,경기도
경상남도 거제시 거제면 서정리,거제시청,055-639-3000,( - ),0.0,483100201,각산,20201201, , , ,경상남도
경상남도 사천시 대방동 ,사천시청,055-831-2114,"각산 산성과 각산 봉수가 있고, 등산객들이 많이 찾는 편이며 삼천포 앞바다의 섬들이 한눈에 들어온다. 삼천포항 서쪽에 바다와 접하면서 실안동을 말발굽처럼 둘러싸고 있는 산이 각산이다. 건너편 와룡산의 위세가 워낙 대단하여 일반에게 잘 알려지지 않지만, 인근 주민들에게 사랑을 받는 산이다. 산은 전형적인 육산으로 산세가 포근한 느낌을 주고 있다. 남릉에 있는 각산 산성과 봉화대가 이 산의 위치적 중요성을 더욱 일깨우고 있다.",408.4,482400101,각산,20201201, , , ,경상남도
